"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L2242","AbortException","hudson.AbortException","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\AbortException.java","35","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","0","30","24","0","2","0.666667","0.578947","11","11","2","1","0.578947","11","0","0","0","0","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","3","0","2","1","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17558","AboutJenkins","hudson.AboutJenkins","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\AboutJenkins.java","15","1","41","2","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","0","5","0.166667","0.185185","5","5","1","5","0.185185","5","3","4","0","0","1","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","22","27","1","9","0","5","5","0","5","0","10","5","1","10","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L17573","AbstractMarkupText","hudson.AbstractMarkupText","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\AbstractMarkupText.java","42","1","166","2","0","0","0","0","0","0","0","0","1","3","3","21","2","8","13","0","13","0.916667","0.561983","68","65","11","1","0.561983","68","0","0","2","2","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","0","0","5","0","5","0","0","0","0","4","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17643","BulkChange","hudson.BulkChange","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\BulkChange.java","71","1","167","2","0","0","0","0","0","0","0","0","1","2","2","13","1","23","32","1","8","0.857143","0.642276","79","75","6","1","0.632","79","0","0","0","0","0","44","95","6","0","6","0","7","2","6","0","7","24","2","6","0","46","97","7","0","6","0","8","2","7","0","8","24","3","7","0","0","0","15","0","8","3","0","0","0","7","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"L17684","ClassicPluginStrategy","hudson.ClassicPluginStrategy","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\ClassicPluginStrategy.java","91","1","865","2","0","0","0","0","0","0","0","0","3","4","4","91","23","10","13","35","60","0.307692","0.168421","80","43","4","9","0.209841","145","2","2","1","1","1","395","560","8","5","8","5","25","2","12","0","25","235","2","12","0","546","775","35","23","14","10","42","2","19","0","111","308","2","63","6","0","0","104","0","0","4","0","0","0","0","1","8","0","2","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0"
"L15003","CloseProofOutputStream","hudson.CloseProofOutputStream","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\CloseProofOutputStream.java","34","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","1","3","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18986","DependencyRunner","hudson.DependencyRunner","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DependencyRunner.java","44","1","99","2","0","0","0","0","0","0","0","0","1","3","3","8","7","1","1","7","10","0.333333","0.148936","7","3","1","2","0.14","7","0","0","0","0","0","40","53","3","0","3","0","3","0","2","0","3","22","0","2","0","43","56","3","0","3","0","4","0","3","0","4","22","0","3","0","0","0","14","0","10","0","0","5","0","5","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18228","DescriptorExtensionList<T extends Describable<T>, D extends Descriptor<T>>","hudson.DescriptorExtensionList","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DescriptorExtensionList.java","69","1","254","2","0","0","0","0","0","0","0","0","7","3","3","28","10","60","15","13","31","0.75","0.403509","69","66","9","3","0.377049","69","2","2","1","1","1","102","173","11","6","3","2","18","0","11","0","51","43","3","31","0","114","186","14","6","3","2","21","0","12","0","64","46","3","38","0","0","0","34","0","13","0","0","1","0","12","1","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L19772","DNSMultiCast","hudson.DNSMultiCast","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\DNSMultiCast.java","23","1","92","2","0","0","0","0","0","0","0","0","1","1","1","4","3","2","2","1","3","0.333333","0.407407","11","5","1","2","0.215385","14","0","0","0","0","0","16","26","3","0","3","0","2","1","2","0","2","6","1","2","0","51","70","3","0","3","0","3","1","3","0","3","31","1","3","0","0","1","12","0","5","0","0","0","0","5","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0"
"L12657","EnvVars","hudson.EnvVars","L104","L103","C:\Users\user\OneDrive\Desktop\GITJENKINS\jenkins-stable-2.138\core\src\main\java\hudson\EnvVars.java","75","1","442","2","0","0","0","0","0","0","0","0","3","2","2","34","6","80","65","4","20","0.75","0.512195","105","96","12","4","0.402857","141","0","0","0","0","0","100","208","3","1","3","1","16","1","15","0","16","58","1","15","0","209","368","18","6","12","3","27","2","23","0","35","114","3","28","0","0","3","47","1","20","3","0","0","0","20","1","0","0","0","0","0","35","0","0","4","0","0","0","0","0","0","0","0","0","0","11","0"
